Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0559381356520999,-0.271283561362411,0.0290055398271714,0,0,0,0.235064989394271,0.000270092559502218,-1.26465530399038E-07,4.26674609935467E-22,0.000699718413983908,-1.75867997782043E-07,0.000959261287268697,0,0,0,0,0,0,package://111.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/base_link.STL,,输入59-1;输入63-1;输入74-1;输入92-1;输入4-1;输入95-1;输入6-1;输入53-1;输入62-1;输入48-1;输入55-1;输入15-1;输入65-1;输入76-1;输入51-1;输入10-1;输入77-1;输入38-1;输入66-1;输入39-1;输入27-1;输入79-1;输入2-1;输入70-1;输入84-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_Link1,-0.104956813349184,0.0734673174582093,0.272485039989104,0,0,0,0.0863952784258492,4.17022072078227E-05,-6.26476231891963E-07,-6.77052245974344E-07,8.07400136377607E-05,-1.43848142424168E-07,4.21514380814862E-05,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link1.STL,,输入32-1;输入49-1;输入50-1;输入56-1;输入28-1;输入67-1;输入42-1,Origin_arm_joint13,基准轴1,arm_joint1,revolute,-0.12665,0.023136,-0.0018235,1.5708,0.019139,0.43373,base_link,0.019137,-0.99982,0,10,1,1.57,-1.57,,,,,,,,
arm_Link2,-0.136981460003215,0.139868696586984,0.236611249069963,0,0,0,0.0491254154253218,1.4766209430222E-05,1.40588870436343E-06,2.50939417371933E-06,2.12408681092163E-05,1.49328292287517E-06,1.47684969001851E-05,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link2.STL,,输入32-1;输入35-1;输入73-1;输入5-1;输入37-1;输入96-1;输入54-1,Origin_arm_joint23,基准轴2,arm_joint2,revolute,0,0,0,0,0,0,arm_Link1,0.67839,0.012986,-0.73459,10,1,1.57,-1.57,,,,,,,,
arm_Link3,-0.0139782733138561,0.207483792828537,0.272879256706971,0,0,0,0.0469201885614542,1.5124561782914E-05,-1.70946641055024E-06,-1.08816382838669E-06,1.63084769447767E-05,3.01175077217733E-07,1.38537972714185E-05,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link3.STL,,输入30-1;输入86-1;输入19-1;输入44-1;输入23-1,Origin_arm_link33,基准轴3,arm_link3,revolute,-0.019697,0.34886,0,3.4413E-05,-0.00015284,2.6987,arm_Link2,-0.60747,-0.30251,-0.73448,10,1,1.57,-1.57,,,,,,,,
arm_Link4,-0.193315642371155,0.197149253309815,0.284073775960619,0,0,0,0.045496261213073,1.43973460162415E-05,1.15659883897814E-06,3.43378659364339E-06,1.1293932263043E-05,1.40080161557672E-06,1.41837555752177E-05,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link4.STL,,输入21-1;输入99-1;输入91-1;输入78-1,Origin_arm_link43,基准轴4,arm_link4,revolute,-0.21366,0.34417,1.7156E-05,0,-0.00016036,-3.0653,arm_Link3,0.62865,0.25531,-0.73458,10,1,1.57,-1.57,,,,,,,,
arm_Link5,-0.00187803488717839,0.260412019578426,0.206260879912601,0,0,0,0.0395237436449325,8.04395149765022E-06,7.2347908151662E-07,-2.77481099166181E-07,9.67097478858006E-06,-1.02949374873286E-07,6.17199439920364E-06,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/arm_Link5.STL,,输入18-1;输入85-1;输入22-1;输入47-1;输入16-1;输入40-1;输入24-1;输入90-1;输入89-1,Origin_arm_joint53,基准轴5,arm_joint5,revolute,-0.2032,0,0.50812,3.1416,0.035773,3.1416,arm_Link4,-0.35831,-0.93313,0.029794,10,1,1.57,-1.57,,,,,,,,
gripper_Link,0.0225056150354474,0.263213220962936,0.207534158244583,0,0,0,0.00426636558699492,7.47258359242624E-07,-1.97327379703181E-07,-5.93850555791093E-08,3.18232639089541E-07,-8.70631492067341E-08,5.94576857369886E-07,0,0,0,0,0,0,package://111.SLDASM/meshes/gripper_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://111.SLDASM/meshes/gripper_Link.STL,,输入89-1;输入26-1,Origin_gripper_joint2,基准轴6,gripper_joint,revolute,0,-0.045642,0.086099,-0.23033,0,1.8332E-05,arm_Link5,0.93284,-0.34311,-0.1099,10,1,1.57,-1.57,,,,,,,,
